upper,cover,lower,year
25.58,11.23,3.26,2004
26.87,17.9,10.02,2005
36.94,31.99,28.08,2006
33.76,30.02,26.12,2007
26.36,22.99,19.95,2008
24.99,21.65,18.74,2009
20.69,17.99,15.39,2010
19.52,17.07,14.56,2011
18.18,16.45,14.76,2012
23.67,20.91,18.45,2013
25.71,22.38,19.16,2014
36.62,32.36,28.05,2015
26.78,24.29,21.38,2016
34.16,30.8,27.44,2017
27.84,24.88,22.17,2018
24.75,21.62,18.57,2019
27.42,24.72,22.14,2020
31.06,27.49,24.21,2021
28.18,23.87,20.03,2022
